distance_3d,altitude_change,horizontal_distance,payload_kg,wind_speed,wind_alignment,turning_angle,start_altitude,end_altitude,abs_altitude_change,actual_time,actual_energy
10.0,10,0.0,1.0,5.589203286115545,0.0,0,50,60,10,10,25
10.0,10,0.0,2.0,5.584694072448987,0.0,0,50,60,10,10,25
10.0,10,0.0,1.0,5.589203286115545,0.0,0,50,60,10,10,25
10.0,10,0.0,2.0,5.584694072448987,0.0,0,50,60,10,10,25
10.0,10,0.0,1.0,5.589203286115545,0.0,0,50,60,10,10,25
10.0,10,0.0,2.0,5.584694072448987,0.0,0,50,60,10,10,25
10.0,10,0.0,1.0,5.589203286115545,0.0,0,50,60,10,10,25
10.0,10,0.0,2.0,5.584694072448987,0.0,0,50,60,10,10,25
10.0,10,0.0,1.0,5.589203286115545,0.0,0,50,60,10,10,25
10.0,10,0.0,2.0,5.584694072448987,0.0,0,50,60,10,10,25
0.6210717599669623,0.6210709272186055,0.0010170507763552674,1.5,1.8524039070631149,0.000258669899956652,0.0,10.0,10.621070927218605,0.6210709272186055,0.12426503676424004,0.011395986391090561
7.05291286695894,7.052912808917759,0.0009048308079511317,1.5,1.856829689047183,0.00011222900153199191,0.08948120541928946,10.621070927218605,17.673983736136364,7.052912808917759,1.4106278028525596,0.1298491387746092
6.736047910796903,6.736047841966041,0.0009629620792548592,1.5,1.905915309073286,0.00014274118783437923,0.003569336205671043,17.673983736136364,24.410031578102405,6.736047841966041,1.347257715842239,0.12360588476331172
3.51081692986294,3.5108168126201065,0.0009073236671823476,1.5,1.9527262062177944,0.00018694947560912495,0.010097138329756901,24.410031578102405,27.92084839072251,3.5108168126201065,0.7022087278793241,0.06446468780856708
4.603484117680289,4.603484022895785,0.0009341723135087508,1.5,1.9771793286596453,0.0001979893151138298,0.007700396754860646,27.92084839072251,32.524332413618296,4.603484022895785,0.9207435122806217,0.08449989816785328
0.30082213474068287,-0.3008205931248753,0.0009630690212986223,1.5,2.0091591692464155,0.0031947099760982565,179.80507587858756,32.524332413618296,32.22351182049342,0.3008205931248753,0.06021225662691645,0.9004461455835968
17.776519184186856,17.77648817950658,0.03320104857008885,1.5,2.0069626988507197,0.0007896609552776728,179.74707803431394,32.22351182049342,50.0,17.77648817950658,3.556957556796022,1.2249104533816169
5.8859274410303035,5.88592732236248,0.0011819223222124854,1.5,1.8587220661906037,0.00012649320224942533,0.0,10.0,15.88592732236248,5.88592732236248,1.1772445598938936,0.10799115835847634
34.114091494436686,34.11407267763752,0.035830652550089034,1.5,1.8996613375403195,-7.639035863276466e-05,0.052389568083878284,15.88592732236248,50.0,34.11407267763752,6.824606081154089,0.6262050589162313
